Pin Code,Place Name,State,Latitude,Longitude
110001,Connaught Place,New Delhi,28.6327,77.2196
110002,Darya Ganj,New Delhi,28.6352,77.2469
110003,Aliganj,New Delhi,28.5916,77.2318
110004,Rashtrapati Bhawan,New Delhi,28.6142,77.196
110005,Lower Camp Anand Parbat,New Delhi,28.6557,77.1875
110006,Bara Tooti,New Delhi,28.6611,77.2346
110007,Birla Lines,New Delhi,28.6786,77.1916
110008,Patel Nagar,New Delhi,28.6482,77.1641
110010,Delhi Cantt,New Delhi,28.5929,77.1218
110011,Nirman Bhawan,New Delhi,28.6041,77.2116
110012,Inderpuri,New Delhi,28.6282,77.1494
110013,Hazrat Nizamuddin,New Delhi,28.5891,77.2568
110014,Jangpura,New Delhi,28.5793,77.2585
110015,Zakhira,New Delhi,28.6589,77.1458
110016,Hauz Khas,New Delhi,28.5472,77.2003
110017,Malviya Nagar,New Delhi,28.5279,77.2089
110018,Vishnu Garden,New Delhi,28.6436,77.087
110019,Nehru Place,New Delhi,28.5347,77.2602
110020,Flatted Factories Complex,New Delhi,28.5388,77.2754
110021,Malcha Marg,New Delhi,28.5884,77.1859
110022,Postal Saving Bureau,New Delhi,28.5641,77.1737
110023,Kidwai Nagar,New Delhi,28.5748,77.1991
110024,Lajpat Nagar,New Delhi,28.5684,77.2416
110025,Jamia Nagar,New Delhi,28.5621,77.2857
110026,Punjabi Bagh,New Delhi,28.6683,77.1365
110027,J-6 Block Rajouri Garden,New Delhi,28.6465,77.1169
110028,Naraina Industrial Estate,New Delhi,28.6318,77.1388
110029,Himayunpur Extn,New Delhi,28.5647,77.2003
110030,T B Hospital,New Delhi,28.4957,77.1665
110031,Gandhi Nagar,New Delhi,28.6508,77.2676
110032,Shahdara,New Delhi,28.6866,77.2922
110033,Adarsh Nagar,New Delhi,28.7236,77.1757
110034,Pitampura,New Delhi,28.693,77.1351
110035,Inderlok,New Delhi,28.6738,77.1643
110036,Alipur,New Delhi,28.8222,77.1718
110037,Gurgaon Road,New Delhi,28.5441,77.116
110038,A F Rajokari,New Delhi,28.5132,77.1093
110039,Bawana,New Delhi,28.8002,77.0355
110040,Sanoth,New Delhi,28.8349,77.0899
110041,Nangloi,New Delhi,28.6697,77.0569
110042,Badli,New Delhi,28.7506,77.142
110043,Najafgarh,New Delhi,28.6117,76.9787
110044,Badarpur T P Station,New Delhi,28.5007,77.3152
110045,Palam Enclave,New Delhi,28.5966,77.0826
110046,Nangal Rava,New Delhi,28.6041,77.098
110047,Arjan Garh,New Delhi,28.4718,77.1315
110048,Kailash,New Delhi,28.5479,77.2376
110049,Andrews Ganj,New Delhi,28.5624,77.2231
110051,Azad Nagar,New Delhi,28.6569,77.2823
110052,Wazirpur Phase Iii,New Delhi,28.6895,77.1754
110053,Zafrabad,New Delhi,28.6757,77.2596
110054,Civil Lines,New Delhi,28.6904,77.2275
110055,Paharganj,New Delhi,28.6456,77.2111
110056,Shakurbasti,New Delhi,28.6812,77.1211
110057,Munirka,New Delhi,28.5616,77.1559
110058,Janakpuri,New Delhi,28.6217,77.0883
110059,Uttam Nagar,New Delhi,28.6218,77.0558
110060,New Rajinder Nagar,New Delhi,28.6354,77.1857
110061,Bijwasan,New Delhi,28.5351,77.0566
110062,Hamdard Nagar,New Delhi,28.51,77.2355
110063,Paschim Vihar,New Delhi,28.6699,77.1069
110064,Hari Nagar Be Block,New Delhi,28.6259,77.1143
110065,East Of Kailash,New Delhi,28.5678,77.2616
110066,R K Puram,New Delhi,28.5674,77.1873
110067,D D A Munirka,New Delhi,28.5433,77.1683
110070,Vasant Kunj,New Delhi,28.5124,77.137
110071,Chhawla,New Delhi,28.5613,77.0021
110072,Jharoda Kalan,New Delhi,28.6838,76.9709
110073,Ujwa,New Delhi,28.5709,76.9058
110081,Kanjhawala,New Delhi,28.7344,77.011
110082,Khera Kalan,New Delhi,28.7762,77.1002
110083,Mangolpuri Block A,New Delhi,28.6925,77.0884
110084,Kutubgarh,New Delhi,28.7579,77.1998
110088,Shalimar Bagh,New Delhi,28.7122,77.159
110091,Himmatpuri,New Delhi,28.6079,77.3055
110092,Shakarpur,New Delhi,28.6362,77.2922
110093,Nand Nagri A Block,New Delhi,28.6974,77.3156
110094,Gokulpuri,New Delhi,28.7157,77.278
110096,Bhajanpura,New Delhi,28.5953,77.3119
121001,Faridabad,Uttar Pradesh,28.39,77.298
121002,Faridabad,Uttar Pradesh,28.4194,77.3669
121005,Faridabad Sector 22,Uttar Pradesh,28.37,77.2693
121006,Industrial Estate,Uttar Pradesh,28.3734,77.3353
121007,Faridabad,Uttar Pradesh,28.389,77.3181
121101,Tigaon,Uttar Pradesh,28.3799,77.4358
121102,Palwal,Uttar Pradesh,28.1373,77.4243
122001,Gurgaon Kutchery,Haryana,28.4555,77.0219
122005,Air Force Gurgaon,Haryana,28.4362,77.0305
122015,Gurgaon Palampur Road,Haryana,28.4964,77.0593
122016,Dundahera,Haryana,28.5079,77.0752
122050,Manesar,Haryana,28.3555,76.941
122101,Badshahpur,Haryana,28.3637,77.0219
122103,Sohna(Gurgaon),Haryana,28.1739,77.0795
122104,Ferozepur Jhirka,Haryana,27.7465,76.9413
122105,Taura,Haryana,28.23355,76.93231
122106,Dharuhera,Haryana,28.20552,76.7953
122107,Nuh,Haryana,28.0775,77.0334
122108,Nagina,Haryana,27.9395,77.0334
122109,Daulatabad (Gurgaon),Haryana,28.41443,77.31521
122211,Palmar,Haryana,28.09,76.9567
